case_id,case_name,source_repository,primary_sources,secondary_sources,source_quality_score,source_quality_rationale,last_verified_date,dataset_version
CSA-LITE-0011,France Parcoursup University Admission Algorithm,AIAAIC,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000036428817;https://www.enseignementsup-recherche.gouv.fr/fr/parcoursup-bilan-de-la-session-2023-92697,https://www.lemonde.fr/education/article/2018/06/04/parcoursup-le-conseil-d-etat-rejette-les-recours-contre-l-algorithme_5308897_1473685.html,3,Government legislation and annual reports; Conseil d'Etat ruling; Mediateur de l'Education reports; journalism,2026-05-27,0.2.0
CSA-LITE-0012,Netherlands Childcare Benefit Algorithm Toeslagenaffaire,AIAAIC,https://www.rijksoverheid.nl/documenten/rapporten/2021/03/12/ongekend-onrecht;https://www.tweedekamer.nl/vergaderingen/commissievergaderingen/details?id=2021A04020,,4,Parliamentary inquiry report Ongekend Onrecht 2021; Tax Authority internal audit; multiple court rulings; journalism,2026-05-27,0.2.0
CSA-LITE-0013,UK Home Office Visa Streaming Algorithm,AIAAIC,https://www.theguardian.com/uk-news/2020/oct/09/home-office-secretly-used-racial-bias-visa-streaming-tool;https://www.gov.uk/government/publications/visa-decision-making-using-algorithmic-streaming,,4,Freedom of Information responses; Home Office published policy document after litigation; parliamentary questions; Guardian investigation,2026-05-27,0.2.0
CSA-LITE-0014,Detroit Police Facial Recognition False Arrest,AIID,https://www.aclu.org/news/privacy-technology/wrongfully-accused-by-an-algorithm;https://www.nytimes.com/2020/06/24/technology/facial-recognition-arrest.html,,4,ACLU documentation of Robert Williams case; court records; NYT investigation; ACLU lawsuit documentation,2026-05-27,0.2.0
CSA-LITE-0015,Clearview AI Facial Recognition Mass Surveillance,AIAAIC,https://www.nytimes.com/2020/01/18/technology/clearview-privacy-facial-recognition.html;https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2022/05/ico-fines-clearview-ai-inc-more-than-7-5-million/,,4,NYT investigation; ICO enforcement decision with full reasoning; CNIL enforcement; Australian Privacy Commissioner investigation,2026-05-27,0.2.0
CSA-LITE-0016,Arkansas Medicaid Personal Care Algorithm,AIID,https://www.aclu.org/cases/ledgerwood-v-pittman;https://law.justia.com/cases/federal/district-courts/arkansas/arwdce/4:2016cv00731/97561/193,,4,Federal court rulings; ACLU litigation records; state agency documentation from discovery; journalism,2026-05-27,0.2.0
CSA-LITE-0017,Optum Patient Risk Algorithm Racial Bias,AIID,https://www.science.org/doi/10.1126/science.aax2342;https://www.nytimes.com/2019/10/24/health/racial-bias-medical-algorithm.html,,4,Peer-reviewed Science publication by Obermeyer et al.; NYT reporting; Optum public response; academic follow-up studies,2026-05-27,0.2.0
CSA-LITE-0018,Houston ISD EVAAS Teacher Evaluation AI,AIID,https://reason.com/volokh/2017/05/04/houston-teachers-win-due-process-lawsuit/;https://law.justia.com/cases/federal/district-courts/texas/txsdce/4:2014cv03044/1183100/146,,3,Federal court ruling; published court opinions; academic analysis; education reporting,2026-05-27,0.2.0
CSA-LITE-0019,EU iBorderCtrl Automated Border Deception Detection,AIAAIC,https://euobserver.com/digital/146535;https://www.europarl.europa.eu/doceo/document/E-9-2019-002793_EN.html,,2,EU Observer journalism; European Parliament written question; academic critique; limited official consortium documentation,2026-05-27,0.2.0
CSA-LITE-0020,Schufa Automated Credit Scoring ECJ Case,AIAAIC,https://curia.europa.eu/juris/document/document.jsf?text=&docid=280426;https://www.bundesgerichtshof.de/SharedDocs/Pressemitteilungen/EN/2024/2024008.html,,4,ECJ Grand Chamber ruling with full reasoning; German Federal Supreme Court ruling; academic legal analysis,2026-05-27,0.2.0
CSA-LITE-0021,UK DWP Universal Credit Fraud Detection AI,AIAAIC,https://www.nao.org.uk/reports/managing-fraud-and-error-in-universal-credit/;https://www.childpovertyactiongroup.org.uk/policy-advocacy-funding/benefits/universal-credit/uc-and-fraud-error,,3,NAO audit report; Child Poverty Action Group policy documentation; parliamentary written answers; journalism,2026-05-27,0.2.0
CSA-LITE-0022,Meta Facebook Content Amplification Algorithm,AIAAIC,https://www.wsj.com/articles/facebook-knows-instagram-is-toxic-for-teen-girls-company-documents-show-11631620739;https://whistleblower.aid.org/resources/facebook-papers/,,3,Wall Street Journal Facebook Papers investigation; Frances Haugen whistleblower documents; Congressional testimony; academic studies,2026-05-27,0.2.0
CSA-LITE-0023,Twitter Algorithmic Image Cropping Racial Bias,AIID,https://arxiv.org/abs/2105.08667;https://blog.twitter.com/engineering/en_us/topics/insights/2021/sharing-learnings-about-our-image-cropping-algorithm,,3,Twitter official blog post acknowledging findings; peer-reviewed academic analysis; journalism; Twitter own published audit,2026-05-27,0.2.0
CSA-LITE-0024,Palantir Gotham Chicago Police Department,AIAAIC,https://igchicago.org/wp-content/uploads/2020/04/OIG-CPD-Strategic-Subject-List-Assessment.pdf;https://www.chicagoreader.com/chicago/chicago-police-palantir-predictive-policing/Content?oid=68276478,,3,Chicago Inspector General assessment; Chicago Reader investigation; court settlement documents; journalism,2026-05-27,0.2.0
CSA-LITE-0025,New York City Pre-Trial Risk Assessment Instrument,AIID,https://criminaljustice.cityofnewyork.us/wp-content/uploads/2020/10/AI-Innovation-Update-2020.pdf;https://www.nycja.org/what-we-do/pretrial-services/risk-assessment/,,3,NYC Office of Criminal Justice publications; NYC Criminal Justice Agency documentation; academic analyses; journalism,2026-05-27,0.2.0
CSA-LITE-0026,HunchLab Predictive Policing Philadelphia,AIAAIC,https://www.aclu.org/report/big-data-big-problems-predictive-policing-and-civil-rights;https://techcrunch.com/2017/07/17/azavea-hunchlab/,,2,ACLU policy report; journalism; academic critique; vendor documentation; limited official police documentation,2026-05-27,0.2.0
CSA-LITE-0027,NHS Babylon GP at Hand AI Triage,AIAAIC,https://www.bmj.com/content/364/bmj.l1099;https://www.digitalhealth.net/2018/09/babylon-health-faces-scrutiny-over-triage-ai/,,3,BMJ investigation; NHS England documentation; Babylon Health peer response; academic clinical evaluation,2026-05-27,0.2.0
CSA-LITE-0028,Uber Driver Algorithmic Deactivation,AIAAIC,https://fortune.com/2020/08/07/uber-lyft-driver-algorithm-deactivation/;https://www.theguardian.com/technology/2020/aug/24/uber-lyft-drivers-deactivated-without-warning-algorithm,,3,Fortune and Guardian reporting with driver testimony; UK employment tribunal proceedings; academic gig economy research,2026-05-27,0.2.0
CSA-LITE-0029,Idaho Medicaid Personal Care Acuity Algorithm,AIID,https://law.justia.com/cases/federal/appellate-courts/ca9/15-35221/15-35221-2016-11-04.html;https://www.aclu.org/cases/idaho-v-self-reliance,,4,Ninth Circuit Court of Appeals ruling; ACLU litigation records; district court findings; state agency documentation from discovery,2026-05-27,0.2.0
CSA-LITE-0030,Canada IRCC Chinook Immigration Application Tool,AIAAIC,https://www.canada.ca/en/immigration-refugees-citizenship/corporate/reports-statistics/evaluations/automated-decision-making.html;https://www.thestar.com/news/canada/2020/11/25/canada-secretly-used-artificial-intelligence-to-make-immigration-decisions-for-two-years.html,,3,IRCC published algorithmic impact assessment; Toronto Star FOI investigation; ATIP documents; parliamentary committee testimony,2026-05-27,0.2.0
CSA-LITE-0031,London Metropolitan Police Live Facial Recognition,AIAAIC,https://www.met.police.uk/advice/advice-and-information/facial-recognition/facial-recognition-technology/;https://www.adalovelaceinstitute.org/report/beyond-face-value-public-attitudes-to-facial-recognition-technology/,,3,Met Police published deployment policy; Ada Lovelace Institute report; academic evaluation by UCL; Bridges v South Wales Police judgment as precedent,2026-05-27,0.2.0
CSA-LITE-0032,TikTok For You Page Recommendation Algorithm,AIAAIC,https://www.wsj.com/articles/tiktok-algorithm-14-minutes-videos-11626877425;https://www.nytimes.com/2021/09/09/technology/tiktok-mental-health.html,,2,WSJ investigation with internal documentation; NYT analysis; academic studies on algorithm harms; limited official company documentation,2026-05-27,0.2.0
CSA-LITE-0033,LinkedIn Job Recommendation Algorithmic Bias,AIID,https://arxiv.org/abs/2005.08365;https://www.vice.com/en/article/zmjjez/linkedin-is-showing-fewer-women-candidates-than-men-for-relevant-jobs,,3,Peer-reviewed academic study; Vice investigation; LinkedIn published research paper on algorithmic fairness,2026-05-27,0.2.0
CSA-LITE-0034,Epic Sepsis Prediction Model Clinical Deployment,AIID,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/2781307;https://www.statnews.com/2021/07/26/epic-failed-sepsis-detection-tool/,,4,JAMA Internal Medicine peer-reviewed study; STAT News investigation; Epic public response; academic follow-up analyses,2026-05-27,0.2.0
CSA-LITE-0035,Austria AMS Employment Profiling Algorithm,AlgorithmWatch,https://algorithmwatch.org/en/austrias-public-employment-service-ams-uses-discriminatory-algorithm/;https://www.arbeit-wirtschaft.at/kuenstliche-intelligenz-am-ams/,,3,AlgorithmWatch investigation; AMS published documentation; Austrian data protection authority proceedings; academic analysis,2026-05-27,0.2.0
CSA-LITE-0036,French Judicial Analytics Open Data Justice AI,AIAAIC,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000037540100;https://www.conseil-national-des-barreaux.fr/actualites/la-mise-en-open-data-des-decisions-de-justice,,2,Legislation text; academic and legal commentary; limited official deployment documentation,2026-05-27,0.2.0
CSA-LITE-0037,SenseTime Xinjiang Ethnic Surveillance System,AIAAIC,https://www.nytimes.com/2019/11/22/technology/sensetime-xavier-xinjiang.html;https://www.icij.org/investigations/china-cables/,,4,NYT investigation with internal documents; ICIJ China Cables leak; US BIS entity list documentation; academic and NGO investigations,2026-05-27,0.2.0
CSA-LITE-0038,New York City Teacher Value-Added Model Publication,AIID,https://www.nytimes.com/2012/02/25/education/teacher-evaluations-to-be-released.html;https://www.edweek.org/leadership/n-y-teacher-evaluations-released-publicly/2012/02,,3,NYT reporting; Education Week documentation; court rulings on public release; academic VAM literature,2026-05-27,0.2.0
CSA-LITE-0039,Workday AI Hiring Algorithm Discrimination Lawsuit,AIAAIC,https://www.bloomberg.com/news/articles/2023-02-21/workday-sued-over-ai-hiring-tool-that-allegedly-discriminates-against-disabled-workers;https://www.eeoc.gov/newsroom/eeoc-issues-resource-document-artificial-intelligence-and-title-vii,,2,Bloomberg reporting; court complaint documents; EEOC resource document; legal commentary,2026-05-27,0.2.0
CSA-LITE-0040,Chicago Police Strategic Subject List,AIAAIC,https://igchicago.org/wp-content/uploads/2020/04/OIG-CPD-Strategic-Subject-List-Assessment.pdf;https://news.wttw.com/2020/09/01/chicago-police-end-controversial-strategic-subject-list,,3,Chicago Inspector General assessment; WTTW journalism; ACLU documentation; court FOI proceedings,2026-05-27,0.2.0
CSA-LITE-0041,Pymetrics AI Hiring Games Unilever Partnership,AIAAIC,https://www.bbc.com/news/business-55932977;https://www.pymetrics.ai/auditing,,3,BBC reporting; Unilever public statements; pymetrics published audit protocol; academic studies on gamified hiring,2026-05-27,0.2.0
CSA-LITE-0042,France CAF Social Benefits Algorithmic Fraud Scoring,AIAAIC,https://www.liberation.fr/economie/social/la-caf-utilise-un-algorithme-de-controle-des-allocataires-qui-privilegie-les-pauvres-20220707_7ZYKVPFWYFCWFCFKF5ULURH2GU/;https://www.numerama.com/politique/1127597-comment-la-caf-utilise-un-algorithme-pour-controler-les-allocataires-les-plus-precaires.html,,3,Liberation investigation; Numerama reporting; Quadrature du Net legal analysis; CNIL examination; academic studies 2022-2023,2026-05-27,0.2.0
CSA-LITE-0043,Google Photos Racial Misclassification of Users,AIID,https://www.theguardian.com/technology/2015/jul/01/google-sorry-racist-auto-tag-photo-app;https://algorithmwatch.org/en/automating-society/,,3,Guardian reporting with documented user examples; Google public apology; academic analysis of image classification bias,2026-05-27,0.2.0
CSA-LITE-0044,UK DWP Targeted Case Review AI Investigation,AIAAIC,https://questions-statements.parliament.uk/written-questions/detail/2023-10-16/HL10888;https://www.nao.org.uk/reports/managing-fraud-and-error-in-universal-credit/,,3,Parliamentary written answers; NAO audit report 2023; DWP published TCR documentation; NGO reporting,2026-05-27,0.2.0
CSA-LITE-0045,South Wales Police Automated Facial Recognition Bridges Case,AIAAIC,https://www.judiciary.uk/judgments/bridges-v-south-wales-police/;https://www.cardiff.ac.uk/news/view/2094858-cardiff-met-publishes-evaluation-of-south-wales-police-afr-locate,,4,Court of Appeal judgment with full legal reasoning; Cardiff Metropolitan University evaluation; EHRC intervention; Big Brother Watch documentation,2026-05-27,0.2.0
