case_id,case_name,annex_iii_area,annex_iii_subcategory,annex_mapping_type,annex_mapping_confidence,annex_mapping_rationale,eu_scope_note,dataset_version
CSA-LITE-0022,Meta Facebook Content Amplification Algorithm,non_annex_comparator,Content recommendation algorithm; no direct Annex III analogue as social media platform,comparator,medium,Social media content amplification does not fall within current Annex III enumeration; mapped as non-Annex comparator for reference,US-domiciled platform; EU DSA applies as lex specialis for content amplification systemic risk assessment,0.2.0
CSA-LITE-0023,Twitter Algorithmic Image Cropping Racial Bias,non_annex_comparator,Aesthetic image cropping algorithm; no direct Annex III analogue,comparator,high,Social media image cropping does not fall within Annex III enumeration; mapped as comparator for reference,US-domiciled platform; EU DSA framework relevant for systemic risk assessment,0.2.0
CSA-LITE-0024,Palantir Gotham Chicago Police Department,law_enforcement,Data fusion and pattern analysis directing law enforcement investigations and resource allocation,direct,high,Directly maps to Annex III law enforcement: AI system directing law enforcement resource allocation and investigations,US deployment; Annex III mapping is analytical reference only,0.2.0
CSA-LITE-0025,New York City Pre-Trial Risk Assessment Instrument,law_enforcement,Pre-trial risk assessment informing bail and detention decisions,direct,high,Directly maps to Annex III law enforcement: risk assessment tool informing criminal pre-trial detention decisions,US deployment; Annex III mapping is analytical reference only,0.2.0
CSA-LITE-0026,HunchLab Predictive Policing Philadelphia,law_enforcement,Location-based crime prediction directing police patrol deployment,direct,high,Directly maps to Annex III law enforcement: AI system directing police patrol resource allocation,US deployment; Annex III mapping is analytical reference only,0.2.0
CSA-LITE-0027,NHS Babylon GP at Hand AI Triage,non_annex_comparator,AI-driven symptom checking and triage for GP appointments; healthcare not enumerated in Annex III,comparator,medium,Healthcare triage AI does not fall within Annex III; mapped as comparator for cross-domain analysis,UK NHS public-private partnership deployment; outside EU AI Act scope,0.2.0
CSA-LITE-0028,Uber Driver Algorithmic Deactivation,employment_worker_management,Automated driver account deactivation based on ratings and performance metrics,direct,high,Directly maps to Annex III employment: automated system making employment access decisions for gig workers,US-domiciled platform; UK Supreme Court found workers are employees; EU Platform Work Directive relevant to EU deployments,0.2.0
CSA-LITE-0029,Idaho Medicaid Personal Care Acuity Algorithm,essential_services_benefits,Automated assessment of personal care hours for disabled Medicaid recipients,direct,high,Directly maps to Annex III essential services: automated eligibility determination affecting essential health care services,US deployment; Annex III mapping is analytical reference only,0.2.0
CSA-LITE-0030,Canada IRCC Chinook Immigration Application Tool,migration_asylum_border_control,Automated triage and recommendation for immigration application processing,direct,high,Directly maps to Annex III migration: AI system directing processing of immigration and visa applications,Canadian deployment; Annex III mapping is analytical reference only; Canadian Charter rights applicable,0.2.0
CSA-LITE-0031,London Metropolitan Police Live Facial Recognition,biometrics,Live facial recognition scanning of faces in public spaces against watchlists,direct,high,Directly maps to Annex III biometrics: live remote biometric identification in public spaces,UK deployment; under EU AI Act this system type may constitute prohibited practice in public spaces; Annex III mapping is analytical reference only,0.2.0
CSA-LITE-0032,TikTok For You Page Recommendation Algorithm,non_annex_comparator,Short video content recommendation algorithm; no direct Annex III analogue,comparator,high,Short video content recommendation does not fall within Annex III; mapped as comparator for reference,ByteDance domiciled in China; operations globally; EU DSA applies to systemic risk assessment; Annex III mapping is analytical reference only,0.2.0
CSA-LITE-0033,LinkedIn Job Recommendation Algorithmic Bias,employment_worker_management,Automated job recommendation and candidate ranking for employment matching,direct,high,Directly maps to Annex III employment: AI system affecting visibility of candidates in recruitment context,US-domiciled platform; deployed globally including EU member states,0.2.0
CSA-LITE-0034,Epic Sepsis Prediction Model Clinical Deployment,non_annex_comparator,Clinical decision support for sepsis detection; healthcare not enumerated in Annex III,comparator,medium,Clinical AI prediction tool does not fall within Annex III enumeration; mapped as comparator for analysis,US deployment; no EU AI Act territorial scope; Annex III mapping is analytical reference only,0.2.0
CSA-LITE-0035,Austria AMS Employment Profiling Algorithm,employment_worker_management,Automated classification of unemployed individuals into placement probability tiers,direct,high,Directly maps to Annex III employment: AI system classifying unemployed individuals for employment service resource allocation,EU member state deployment; GDPR applicable; Austrian data protection authority review conducted,0.2.0
CSA-LITE-0036,French Judicial Analytics Open Data Justice AI,justice_democratic_processes,AI analysis of judicial decisions for legal prediction and pattern analysis,analogous,medium,Analogous to Annex III justice: AI analysis of judicial decisions used in legal proceedings context; France banned judge profiling,EU member state deployment; France enacted Law 2019-222 banning identification of judges by AI,0.2.0
CSA-LITE-0037,SenseTime Xinjiang Ethnic Surveillance System,biometrics,Facial recognition and ethnic categorisation for mass population surveillance,direct,high,Directly maps to Annex III biometrics: remote biometric identification and ethnic categorisation; under EU AI Act this would be categorised as unacceptable risk,Outside EU AI Act territorial scope; under EU AI Act this system type constitutes prohibited practice; Annex III mapping is analytical reference only,0.2.0
CSA-LITE-0038,New York City Teacher Value-Added Model Publication,employment_worker_management,Value-added model for teacher evaluation affecting employment and public reputation,direct,high,Directly maps to Annex III employment: AI evaluation system affecting teacher employment and public reputation,US deployment; Annex III mapping is analytical reference only,0.2.0
CSA-LITE-0039,Workday AI Hiring Algorithm Discrimination Lawsuit,employment_worker_management,Automated pre-screening of job applicants for enterprise employers,direct,high,Directly maps to Annex III employment: AI system used in recruitment screening affecting employment access,US deployment; Annex III mapping is analytical reference only; EEOC guidance on AI hiring tools published 2023,0.2.0
CSA-LITE-0040,Chicago Police Strategic Subject List,law_enforcement,Predictive risk scoring identifying individuals at elevated risk of gun violence involvement,direct,high,Directly maps to Annex III law enforcement: AI system identifying individuals for targeted law enforcement attention,US deployment; Annex III mapping is analytical reference only,0.2.0
CSA-LITE-0041,Pymetrics AI Hiring Games Unilever Partnership,employment_worker_management,Automated pre-screening of job applicants via gamified neuroscience assessment,direct,high,Directly maps to Annex III employment: AI system used for recruitment screening affecting employment access,UK and global deployment; EU member state operations included; EU AI Act applicable to EU deployments,0.2.0
CSA-LITE-0042,France CAF Social Benefits Algorithmic Fraud Scoring,essential_services_benefits,Automated fraud risk scoring directing audit and control of benefit recipients,direct,high,Directly maps to Annex III essential services: automated fraud detection system affecting welfare benefit access,EU member state deployment; GDPR and EU AI Act applicability; Quadrature du Net filed CNIL complaint,0.2.0
CSA-LITE-0043,Google Photos Racial Misclassification of Users,non_annex_comparator,Consumer photo labelling and categorisation; no direct Annex III analogue,comparator,high,Consumer photo labelling does not fall within Annex III enumeration; mapped as comparator for reference,US-domiciled platform; EU GDPR implications for biometric data; Annex III mapping is analytical reference only,0.2.0
CSA-LITE-0044,UK DWP Targeted Case Review AI Investigation,essential_services_benefits,AI-directed targeting of welfare claimants for investigation and potential benefit adjustment,direct,high,Directly maps to Annex III essential services: AI system directing investigation of welfare benefit recipients,UK deployment; outside EU AI Act scope; Annex III mapping is analytical reference only,0.2.0
CSA-LITE-0045,South Wales Police Automated Facial Recognition Bridges Case,biometrics,Live facial recognition for identification of individuals against watchlists in public spaces,direct,high,Directly maps to Annex III biometrics: live remote biometric identification in public spaces,UK deployment; Court of Appeal found unlawful 2020; under EU AI Act equivalent deployment in public spaces may constitute prohibited practice,0.2.0
